Phrase,Cerebro IQ Score,Search_volume,Competing Products,CPR 8-Day Giveaways,Sponsored ASINs,Amazon Recommended,Sponsored,Organic,Amazon Recommended Rank,Sponsored_rank,Organic_rank
furdog camera,-,-,-,-,0,1,0,0,587,-,-
furbo dog camera only,-,-,-,-,0,1,0,0,564,-,-
doggie camera with treats,-,-,-,-,0,1,0,0,640,-,-
ferbo wireless camera,-,-,-,-,0,1,0,0,534,-,-
doggie camera treat dispenser,-,-,-,-,0,1,0,0,639,-,-
doggie cam with treats,-,-,-,-,0,1,0,0,638,-,-
dog treat furbo,-,-,-,-,0,1,0,0,636,-,-
furdo dogs,-,-,-,-,0,1,0,0,586,-,-
ferbo dog camera,-,-,-,-,0,1,0,0,533,-,-
treat tosser smart pet feeder,-,-,-,-,0,1,0,0,661,-,-
ferbo camera,-,-,-,-,0,1,0,0,531,-,-
furby dog camera,-,-,-,-,0,1,0,0,584,-,-
fargo dog camera,-,-,-,-,0,1,0,0,530,-,-
durbo dog camera,-,-,-,-,0,1,0,0,528,-,-
puppy food 6 weeks,-,-,-,-,0,1,0,0,653,-,-
hooman dog camera,-,-,-,-,0,1,0,0,595,-,-
doggy cam with treat,-,-,-,-,0,1,0,0,525,-,-
kong treats puppies,-,-,-,-,0,1,0,0,647,-,-
pet cube smart,-,-,-,-,0,1,0,0,648,-,-
puppy cam with treats,-,-,-,-,0,1,0,0,652,-,-
furgo pet camera,-,-,-,-,0,1,0,0,591,-,-
dog treat shooter camera,-,-,-,-,0,1,0,0,521,-,-
fetch camera,-,-,-,-,0,1,0,0,535,-,-
dog treat dispenser with remote,-,-,-,-,0,1,0,0,635,-,-
wellness petite treat,-,-,-,-,0,1,0,0,663,-,-
furbo 2,-,-,-,-,0,1,0,0,554,-,-
furbo dog camera black friday,-,-,-,-,0,1,0,0,563,-,-
petcam feeder,-,-,-,-,0,1,0,0,605,-,-
petcam with treats,-,-,-,-,0,1,0,0,606,-,-
furbo cat treats,-,-,-,-,0,1,0,0,558,-,-
pet treat feeder camera,-,-,-,-,0,1,0,0,601,-,-
petzi treat camera,-,-,-,-,0,1,0,0,615,-,-
puppy camera with treats,-,-,-,-,0,1,0,0,617,-,-
furbo dog camera with alexa,-,-,-,-,0,1,0,0,565,-,-
furbo black friday,-,-,-,-,0,1,0,0,556,-,-
treat throwing dog camera,-,-,-,-,0,1,0,0,621,-,-
furbo dog canera,-,-,-,-,0,1,0,0,566,-,-
furbo dog monitor,-,-,-,-,0,1,0,0,567,-,-
furbi dog camera,-,-,-,-,0,1,0,0,551,-,-
pet treat machine,-,-,-,-,0,1,0,0,602,-,-
furbee dog camera,-,-,-,-,0,1,0,0,549,-,-
used furbo,-,-,-,-,0,1,0,0,625,-,-
furbo nanny,-,-,-,-,0,1,0,0,570,-,-
treat feeder with camera,-,-,-,-,0,1,0,0,659,-,-
verbo dog camera,-,-,-,-,0,1,0,0,626,-,-
dog camera treat tosser,-,-,-,-,0,1,0,0,632,-,-
fur ball camera,-,-,-,-,0,1,0,0,543,-,-
frobo dog camera,-,-,-,-,0,1,0,0,538,-,-
dog monitor with treat dispenser,-,-,-,-,0,1,0,0,633,-,-
fido cam,-,-,-,-,0,1,0,0,536,-,-
dog treat despensers,-,-,-,-,0,1,0,0,634,-,-
furbo treat tossing pet camera,-,-,-,-,0,1,0,0,574,-,-
puppy goldendoodle,-,-,-,-,0,1,0,0,654,-,-
petcube 2020,-,-,-,-,0,1,0,0,427,-,-
dog treat giver with camera,-,-,-,-,0,1,0,0,520,-,-
monitor built camera,-,-,-,-,0,1,0,0,243,-,-
pet sound,-,-,-,-,0,1,0,0,54,-,-
pet treat dog,-,-,-,-,0,1,0,0,48,-,-
with camera hd,-,-,-,-,0,1,0,0,215,-,-
audio 2,-,-,-,-,0,1,0,0,216,-,-
video monitor with camera audio,-,-,-,-,0,1,0,0,41,-,-
alexa dog camera,-,-,-,-,0,1,0,0,220,-,-
vision bite dog,-,-,-,-,0,1,0,0,225,-,-
pet camera alexa,-,-,-,-,0,1,0,0,234,-,-
alexa motion,-,-,-,-,0,1,0,0,235,-,-
petcube bite treat,-,-,-,-,0,1,0,0,239,-,-
petcube bite 2,-,-,-,-,0,1,0,0,245,-,-
alexa built,-,-,-,-,0,1,0,0,76,-,-
alexa room,-,-,-,-,0,1,0,0,248,-,-
pet bite 2,-,-,-,-,0,1,0,0,249,-,-
dog fi,-,-,-,-,0,1,0,0,250,-,-
pet dispenser with camera,-,-,-,-,0,1,0,0,253,-,-
bite treat,-,-,-,-,0,1,0,0,255,-,-
alexa hd,-,-,-,-,0,1,0,0,258,-,-
cat dog 2,-,-,-,-,0,1,0,0,263,-,-
petcube bite camera,-,-,-,-,0,1,0,0,264,-,-
cat treat video,-,-,-,-,0,1,0,0,266,-,-
night vision 1080p,-,-,-,-,0,1,0,0,268,-,-
alexa sound,-,-,-,-,0,1,0,0,212,-,-
monitor with 2 camera,-,-,-,-,0,1,0,0,82,-,-
built bite,-,-,-,-,0,1,0,0,273,-,-
monitor with camera audio,-,-,-,-,0,1,0,0,132,-,-
alexa 2020,-,-,-,-,0,1,0,0,146,-,-
camera with audio video,-,-,-,-,0,1,0,0,145,-,-
pet treat cat,-,-,-,-,0,1,0,0,159,-,-
night vision motion,-,-,-,-,0,1,0,0,161,-,-
room camera with monitor audio,-,-,-,-,0,1,0,0,163,-,-
2 dog treat,-,-,-,-,0,1,0,0,165,-,-
2020 monitor,-,-,-,-,0,1,0,0,170,-,-
view room,-,-,-,-,0,1,0,0,137,-,-
monitor with camera built,-,-,-,-,0,1,0,0,135,-,-
new 2020,-,-,-,-,0,1,0,0,176,-,-
video monitor with 2 camera,-,-,-,-,0,1,0,0,128,-,-
audio monitor 2 way,-,-,-,-,0,1,0,0,92,-,-
petcube treat dog,-,-,-,-,0,1,0,0,122,-,-
alexa pet,-,-,-,-,0,1,0,0,187,-,-
dog treat bite,-,-,-,-,0,1,0,0,188,-,-
alexa dog treat dispenser,-,-,-,-,0,1,0,0,121,-,-
video monitor 2 camera,-,-,-,-,0,1,0,0,192,-,-
way audio,-,-,-,-,0,1,0,0,106,-,-
vision bite,-,-,-,-,0,1,0,0,198,-,-
cat 2,-,-,-,-,0,1,0,0,201,-,-
camera 2020,-,-,-,-,0,1,0,0,202,-,-
motion pet camera,-,-,-,-,0,1,0,0,203,-,-
1080p motion camera,-,-,-,-,0,1,0,0,271,-,-
petcube bite 2 treat,-,-,-,-,0,1,0,0,275,-,-
dog treat canera,-,-,-,-,0,1,0,0,517,-,-
dog camera treat thrower,-,-,-,-,0,1,0,0,478,-,-
furbo nanny dog camera,-,-,-,-,0,1,0,0,458,-,-
furbo dog treat camera,-,-,-,-,0,1,0,0,462,-,-
pet tutor treat dispenser,-,-,-,-,0,1,0,0,463,-,-
alexa dog treat,-,-,-,-,0,1,0,0,464,-,-
cat camera treat dispenser laser,-,-,-,-,0,1,0,0,465,-,-
new furbo,-,-,-,-,0,1,0,0,470,-,-
pet camera laser treat,-,-,-,-,0,1,0,0,471,-,-
cat video treat dispenser,-,-,-,-,0,1,0,0,475,-,-
dog camara treat,-,-,-,-,0,1,0,0,476,-,-
dog camera gives treats,-,-,-,-,0,1,0,0,477,-,-
manners minder dogs,-,-,-,-,0,1,0,0,488,-,-
pet cube play 2,-,-,-,-,0,1,0,0,452,-,-
treat n train dogs,-,-,-,-,0,1,0,0,494,-,-
treat n train manners minder,-,-,-,-,0,1,0,0,495,-,-
amazon furbo,-,-,-,-,0,1,0,0,497,-,-
automatic dog treat feeder,-,-,-,-,0,1,0,0,502,-,-
crate treat dispenser,-,-,-,-,0,1,0,0,505,-,-
dog alexa,-,-,-,-,0,1,0,0,506,-,-
dog camera throws treats,-,-,-,-,0,1,0,0,510,-,-
dog feeding camera,-,-,-,-,0,1,0,0,511,-,-
dog tossing treat,-,-,-,-,0,1,0,0,514,-,-
dog treat camer,-,-,-,-,0,1,0,0,516,-,-
petcube play2,-,-,-,-,0,1,0,0,455,-,-
wifi laser cat toy,-,-,-,-,0,1,0,0,447,-,-
petcube bite pet camera,-,-,-,-,0,1,0,0,277,-,-
petbites 2,-,-,-,-,0,1,0,0,419,-,-
1080p full hd camera,-,-,-,-,0,1,0,0,279,-,-
dog video camera with audio,-,-,-,-,0,1,0,0,282,-,-
camera dogs home,-,-,-,-,0,1,0,0,311,-,-
dog puzzles smart,-,-,-,-,0,1,0,0,343,-,-
treat puzzle games dogs,-,-,-,-,0,1,0,0,363,-,-
puzzle toy dogs,-,-,-,-,0,1,0,0,395,-,-
puppy brain stimulating toys,-,-,-,-,0,1,0,0,400,-,-
dog treat puzzles medium,-,-,-,-,0,1,0,0,403,-,-
bites 2,-,-,-,-,0,1,0,0,414,-,-
pet cubes bites camera,-,-,-,-,0,1,0,0,417,-,-
pet bites 2 camera,-,-,-,-,0,1,0,0,422,-,-
doggy camera with treat dispenser,-,-,-,-,0,1,0,0,445,-,-
pet bites camera,-,-,-,-,0,1,0,0,423,-,-
pet cube dog camera,-,-,-,-,0,1,0,0,424,-,-
petcube 2019,-,-,-,-,0,1,0,0,426,-,-
petcube bites 2 black,-,-,-,-,0,1,0,0,428,-,-
petcube bites2,-,-,-,-,0,1,0,0,429,-,-
alexa cat,-,-,-,-,0,1,0,0,432,-,-
alexa cat toy,-,-,-,-,0,1,0,0,433,-,-
cat cube camera,-,-,-,-,0,1,0,0,434,-,-
laser camera cat,-,-,-,-,0,1,0,0,437,-,-
petcube with laser,-,-,-,-,0,1,0,0,443,-,-
camara dogs,-,-,-,-,0,1,0,0,444,-,-
remote treat dispenser cats,-,-,-,-,0,1,0,0,668,-,-
