ASIN,Name,20171,20172,2018,,2019 Q1,,2019 Q2,,July,Julym,August,Augustm,September,Septemberm,October,Octoberm,November,Novemberm,December,Decemberm,January,Januarym,February,Februarym,March,Marchm
ASIN,Item Name,Quantity Shipped,GMS,Quantity Shipped,GMS,Quantity Shipped,GMS,Quantity Shipped,GMS,Quantity Shipped,GMS,Quantity Shipped,GMS,Quantity Shipped,GMS,Quantity Shipped,GMS,Quantity Shipped,GMS,Quantity Shipped,GMS,Quantity Shipped,GMS,Quantity Shipped,GMS,Quantity Shipped,GMS
B082XQM9PV,"[2020 New] 5MP Security Camera System with 2TB Hard Drive,SAFEVANT 8 Channel Super HD CCTV DVR Systems 2.5_1080P Indoor Outdoor Home Surveillance Cameras with Night Vision Motion Detection",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,27996.58,78,25271.07,61,19688.87
B07D34MGZQ,"[2020 New] Home Security Camera System with 1TB Hard Drive,SAFEVANT 8 Channel 5-in-1 DVR Systems 4PCS 2MP Outdoor Indoor Surveillance Cameras with Night Vision Motion Detection",0,0,140,29683.27,31,6140.63,42,8199.46,24,4608.87,10,1929.9,12,2205.33,2,349.98,9,1547.7,17,2778.35,5,863.9,11,1855.07,5,734.53
B081ZP5HSR,"[2020 New] Home Security Camera System,SAFEVANT 8 Channel HD DVR Systems with 8 Surveillance Cameras Outdoor Indoor Night Vision Motion Detection",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,168.86,6,1083.32,13,2477.25,17,3035.25
B083LV5GLZ,"[2020 New] Security Camera System,NexTrend Wired Home Surveillance Cameras System 8CH 5MP DVR with FHD Indoor Outdoor Weatherproof CCTV Cameras 1TB Hard Drive Motion Alert Night Vision Remote Monitor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1784.86,11,2193.88,15,2844.06
B07Y8Q77HW,"[2020 Upgrade] Outdoor Security Camera Wireless, Jecurity 1080P Wifi Surveillance Camera with Full Color Night Vision,Floodlight,Two-Way Audio,Siren Alarm,Motion Detection, Waterproof, MicroSD Support",0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,854.8,338,12477.9,479,18955.58,359,14228.48,438,17377.49,299,11844.8
B08156HCHQ,"[2020] FullHD 1080p WiFi Home Security Camera Pan/Tilt/Zoom, Two-Way Audio - Smart App, Support Alexa - Wireless IP Indoor Surveillance - Night Vision, Dome Remote Baby Monitor, Pet, iOS, Android",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,11639.43,765,37967.38,652,32522.92,334,16729.07
B079N2BH9Y,"[8CH Expandable] 1080P Wireless Security Camera System with Monitor,SAFEVANT Home NVR Systems 4pcs 960P Indoor Outdoor CCTV Cameras with Night Vision Motion Detection",0,0,216,62016.23,22,6120.94,55,14264.67,25,6258.63,20,4831.59,26,6132.47,13,3091.17,8,1823.39,25,5028.35,16,3187,21,4161.67,16,3117.68
B07H4RYSQS,"[8CH Expandable] All in one with 10.1"" LCD Monitor Wireless Security Camera System with Audio, 8CH 1080P NVR Kit 4Pcs 2MP Outdoor Bullet IP Cameras(Black) 65ft Night Vision Waterproof,1TB Hard Drive",0,0,34,10451.1,56,16699.82,136,39854.05,123,31802.03,40,11495.03,76,19786.14,67,19258.94,51,13986.66,128,36295.14,134,38455.17,127,36447.07,32,9227.56
B07T8ZDTTP,"[8CH Expandable] All in one with 12"" LCD Monitor Wireless Security Camera System, Home Business 8CH 1080P NVR Kit 4pcs 2MP Outdoor Bullet IP Cameras 65ft Night Vision Waterproof,3TB Hard Drive",0,0,0,0,0,0,0,0,0,0,40,12626.1,105,30251.14,137,43497.93,200,61404.85,179,55914.52,200,63408.23,298,94477.6,322,101941.19
B07F32X3XZ,"[8CH Expandable]All in one with 10.1"" Monitor Wireless Security Camera System,Hiseeu 8ch Wireless Home Security Camera System,4pcs 2.0MP 1080P Indoor/Outdoor Security Camera,Remote View,1TB Hard Drive",0,0,370,106637.18,537,154443.25,960,275875.09,466,130836.55,411,118035.77,350,100466.82,332,95360.88,462,125268.35,630,171124.6,245,67822.88,205,54688.14,209,52174.55
